latitude,longitude,disc_clean_date,Temp_pre_15,Temp_pre_7,Wind_pre_15,Wind_pre_7,Hum_pre_15,Hum_pre_7,Prec_pre_15,Prec_pre_7,Temp,Wind,Hum,Prec
40.343056,-123.383056,2022-10-29,23.0,9.0,3.4,12.5,31.0,69.0,0.0,0.06,10.9,6.5,55.0,0.0
40.343056,-123.383056,2022-10-30,22.1,7.3,2.7,4.5,29.0,60.0,0.0,0.0,11.6,3.8,59.0,0.0
40.343056,-123.383056,2022-10-31,17.6,9.8,4.5,6.7,36.0,53.0,0.0,0.04,12.5,7.6,61.0,0.0
40.343056,-123.383056,2022-11-1,17.0,9.9,2.0,7.6,51.0,69.0,0.0,0.0,6.6,11.6,80.0,0.78
40.343056,-123.383056,2022-11-2,17.8,6.7,2.9,8.9,40.0,72.0,0.0,0.0,3.0,6.5,84.0,0.12
40.343056,-123.383056,2022-11-3,19.5,9.6,4.7,2.7,22.0,58.0,0.0,0.0,3.3,4.3,79.0,0.0
40.343056,-123.383056,2022-11-4,20.9,10.6,4.5,3.2,24.0,39.0,0.0,0.0,7.4,6.5,80.0,0.15
40.343056,-123.383056,2022-11-5,15.8,10.9,7.4,6.5,40.0,55.0,0.0,0.0,7.9,4.7,98.0,0.56
40.343056,-123.383056,2022-11-6,9.0,11.6,12.5,3.8,69.0,59.0,0.06,0.0,3.5,7.2,91.0,0.81
40.343056,-123.383056,2022-11-7,7.3,12.5,4.5,7.6,60.0,61.0,0.0,0.0,1.4,6.5,96.0,0.35
40.343056,-123.383056,2022-11-8,9.8,6.6,6.7,11.6,53.0,80.0,0.04,0.78,1.3,3.8,98.0,0.56
40.343056,-123.383056,2022-11-9,9.9,3.0,7.6,6.5,69.0,84.0,0.0,0.12,1.8,2.9,99.0,0.02
40.343056,-123.383056,2022-11-10,6.7,3.3,8.9,4.3,72.0,79.0,0.0,0.0,1.7,2.2,98.0,0.0
40.343056,-123.383056,2022-11-11,9.6,7.4,2.7,6.5,58.0,80.0,0.0,0.15,4.3,2.2,88.0,0.11
40.343056,-123.383056,2022-11-12,10.6,7.9,3.2,4.7,39.0,98.0,0.0,0.56,2.5,3.4,99.0,0.2
40.343056,-123.383056,2022-11-13,10.9,3.5,6.5,7.2,55.0,91.0,0.0,0.81,3.6,2.9,84.0,0.0
40.343056,-123.383056,2022-11-14,11.6,1.4,3.8,6.5,59.0,96.0,0.0,0.35,5.4,2.0,75.0,0.0
